text,cedis_code,cedis_complaint,domain,source,rule_applied
resp failure,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Trauma from fall,802,Major trauma—blunt,Trauma,silver,
L thigh hemotoma,716,Spontaneous bruising,Skin,silver,
Abdominal/head trauma,802,Major trauma—blunt,Trauma,silver,
open fx L,802,Major trauma—blunt,Trauma,silver,
hand infection,711,Other skin conditions,Skin,silver,
"Snowmobile trauma, mandibular fracture",802,Major trauma—blunt,Trauma,silver,
thiracic spinal fxs,552,Traumatic back/spine injury,Orthopedic,silver,
unstable spinal fructure,552,Traumatic back/spine injury,Orthopedic,silver,
Neck / Head pain,404,Headache,Neurologic,silver,
PPROM - <DATE_TIME>,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Accident MVA,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
preterm labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
bleeding,455,Vaginal bleed,OB/GYN,silver,
intentional overdose,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"<DATE_TIME>, PROM",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
"SOB, hypoxia",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
SOB/ Leg Swell,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Syncope/Arythmia,8,Syncope/pre-syncope,Cardiovascular,silver,
collapse,8,Syncope/pre-syncope,Cardiovascular,silver,
Confusion,402,Confusion,Neurologic,silver,
sever anemia,864,Pallor/anemia,General and Minor,silver,
MVA with possible PTX,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
CP/SOB,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
snowmobile MVA,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
SI/hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
suicidality,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
pregnancy amd severe preempsia,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
altered mental status/hyponatremia,402,Confusion,Neurologic,silver,
Hyperglycemia,853,Hyperglycemia,General and Minor,silver,
L hip fx,557,Lower extremity injury,Orthopedic,silver,
hip fx,557,Lower extremity injury,Orthopedic,silver,
attempted hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
"miscarriage, vaginal bleeding",455,Vaginal bleed,OB/GYN,silver,
Syncoper / Lower GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
suicide attempt,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
chest paint,4,Chest pain—non-cardiac features,Cardiovascular,silver,
Non reassuring fetal surveillance at term,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Poss (R) hip fracture,557,Lower extremity injury,Orthopedic,silver,
Acute resp distress,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
polytrauma,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
acute liver failure,999,Unknown,General and Minor,silver,
peripheral edema,10,Bilateral leg swelling/edema,Cardiovascular,silver,
dizziness,403,Vertigo,Neurologic,silver,
Acute Psychosis,353,Hallucinations/delusions,Mental Health,rule,PSYCHOSIS
ETOH,751,Substance misuse/intoxication,Substance Misuse,silver,
Asthma,659,Wheezing—no other complaints,Respiratory,silver,
"delerium, cellulitis, left leg",12,Unilateral reddened hot limb,Cardiovascular,silver,
Cirrhosis with AKI,999,Unknown,General and Minor,silver,
epistaxix,151,Epistaxis,ENT - Nose,silver,
"Fall strike head, seizure",405,Seizure,Neurologic,silver,
Pneumothorax,999,Unknown,General and Minor,silver,
Cough,653,Cough/congestion,Respiratory,silver,
MVH/L Femur,802,Major trauma—blunt,Trauma,silver,
attempted suicide,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
PROM 36 wk IUP,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
COVID POS SOB,653,Cough/congestion,Respiratory,rule,COVID
COVID resp distress,653,Cough/congestion,Respiratory,rule,COVID
open fracture,802,Major trauma—blunt,Trauma,silver,
suicide attemp,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
Epidural/Subdural/Skull Fx,407,Head injury,Neurologic,silver,
A. Flutter,5,Palpitations/irregular heart beat,Cardiovascular,silver,
imaging,859,Imaging tests,General and Minor,silver,
SRM @31 <DATE_TIME>,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
"Trauma, hand injury",556,Upper extremity injury,Orthopedic,silver,
OU infection,506,"Red eye, discharge",Ophthalmology,silver,
"COVID, SOB",653,Cough/congestion,Respiratory,rule,COVID
Suicidal attempt,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
RLQ Pain x <DATE_TIME>,251,Abdominal pain,Gastrointestinal,silver,
Gallstone pancreatitis,251,Abdominal pain,Gastrointestinal,silver,
pelvic abscess,251,Abdominal pain,Gastrointestinal,silver,
sepsis,866,Minor complaints NOS,General and Minor,silver,
Right Arm Injury,556,Upper extremity injury,Orthopedic,silver,
OD metformin,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
Shoulder injury,556,Upper extremity injury,Orthopedic,silver,
"ABD Pain, N/V",251,Abdominal pain,Gastrointestinal,silver,
Active Labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
L side wekaness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
Lt sided weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
"ATV accident, Left hip deformity",802,Major trauma—blunt,Trauma,silver,
dislocation,866,Minor complaints NOS,General and Minor,silver,
MVA: <LOCATION> and Neck Pain,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
c/f nec fasciitis,866,Minor complaints NOS,General and Minor,silver,
Trauma accident,802,Major trauma—blunt,Trauma,silver,
hemorshape,999,Unknown,General and Minor,silver,
Gangrene,709,Localized swelling/redness,Skin,rule,GANGRENE
"RLQ pain, fever, vomiting",251,Abdominal pain,Gastrointestinal,silver,
R Leg Pain,555,Lower extremity pain,Orthopedic,silver,
Seizures/ETOH Withdrawal,753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
"SI, alcohol intoxication",751,Substance misuse/intoxication,Substance Misuse,silver,
epistaxis,151,Epistaxis,ENT - Nose,silver,
"RUQ pain, cholecystitis?",251,Abdominal pain,Gastrointestinal,silver,
s/p heart transplant,865,Post-operative complications,General and Minor,rule,POST_OP
Uppper GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
UTI with bacteria,307,UTI complaints,Genitourinary,silver,
Multi lobar pna,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
AE of COPD,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
L ankle fracture,557,Lower extremity injury,Orthopedic,silver,
R Humerus Fracture,556,Upper extremity injury,Orthopedic,silver,
Severe acute exacerbation of,866,Minor complaints NOS,General and Minor,silver,
"MVX, HI, Suicidal, ETOH",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
R sided weakness,409,Extremity weakness/symptoms of CVA,Neurologic,silver,
