text,cedis_code,cedis_complaint,domain,source,rule_applied
"Authorized in from <LOCATION>, <DATE_TIME> developed LUQ pian 9on/off and sharp). Denies other symptoms. Had abortion in <LOCATION> <DATE_TIME>-11",251,Abdominal pain,Gastrointestinal,silver,
pt comes to clinic post TAB has soaked 5 pads in <DATE_TIME>.,455,Vaginal bleed,OB/GYN,silver,
musculoskeletal 6,866,Minor complaints NOS,General and Minor,silver,
34 yo M hearing voices to hurt himself,353,Hallucinations/delusions,Mental Health,silver,
34yom here for his ezcema,708,Rash,Skin,silver,
"33 yo M here after drinking gallon homebrew <DATE_TIME> and 2 bottles hand sanitizer, feeling very anxious.",752,Overdose ingestion,Substance Misuse,silver,
"Authorized in from <LOCATION> with Guardian. <DATE_TIME> while drinking heavy flipped snowgo, ambulated home, now left hip pain, unable to bear weight. No loc. abrasion/skin tear. fentanyl 100/ zofran 4mg at <DATE_TIME> with relief",555,Lower extremity pain,Orthopedic,silver,
"nausea and vomiting over <DATE_TIME> now sob, hx of the same. FSBS 185",257,Nausea and/or vomiting,Gastrointestinal,silver,
"pt reports being discharged from ICU <DATE_TIME> post cardiac arrest, pt c/o chest pain, denies sob. pt calm, cooperative, ambulatory. pt requests pain medications.",3,Chest pain—cardiac features,Cardiovascular,silver,
"f/u inpt d/c CM; having chest soreness from recent CPR; no SOB. no dizziness or palps, no edema in LE- meds reviewed",3,Chest pain—cardiac features,Cardiovascular,silver,
"30 y/o male came to the clinic because of bleeding behind right ear, patient says he had recent surgery and was puking and wound opened and started bleeding, patient stated he also puked blood",259,Vomiting blood,Gastrointestinal,silver,
"56 y/o male had a injury lastnight, he jumped off a snowmachine and landed on his left ankle and left side ribs",802,Major trauma—blunt,Trauma,silver,
"Pt staying at patient housing, needing rapid covid testing so he can fly home to <LOCATION>. Pt alert, ambulates steadily w/ walker, wearing mask.",851,Exposure to communicable disease,General and Minor,rule,COVID_EXPOSURE
"medivac'd in for left eye swollen shut and left temporal, ear swelling, c/o left neck pain after an assult this am @ 0500 , denies any loc",510,Eye trauma,Ophthalmology,silver,
Possible recent/ past heart attack Right lower lobe pneumonia CHest Injury <DATE_TIME>,3,Chest pain—cardiac features,Cardiovascular,silver,
"BIB Gaurdian from <LOCATION> for open tib/fib fx of left leg after falling down stairs. C-spine tenderness, Trauma 2 activation.",802,Major trauma—blunt,Trauma,silver,
covid-19 recheck visit by phone,851,Exposure to communicable disease,General and Minor,rule,COVID_EXPOSURE
"on <DATE_TIME>.<DATE_TIME> at about 11;30 am, <DATE_TIME> male called to the clinic for pain medication, the patient hastested positive covid on <DATE_TIME> and stated he was doing fine but wanted pain medication, no rspitory distress, just body ache, call lasted <PERSON>",851,Exposure to communicable disease,General and Minor,rule,COVID_EXPOSURE
"approximately 15 Tylenol 500 mg tabs taken at <DATE_TIME>, intentionally",752,Overdose ingestion,Substance Misuse,silver,
"Authorized in from <LOCATION>, <DATE_TIME> developed LUQ pian 9on/off and sharp). Denies other symptoms. Had abortion in <LOCATION> <DATE_TIME>-11",457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
sever bleeding post TAB on <DATE_TIME>,455,Vaginal bleed,OB/GYN,silver,
pt comes to clinic post TAB has soaked 5 pads in <DATE_TIME>.,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
vaginal bleeding s/p sex from elective <DATE_TIME>; bleeding with golf ball sized clots;,865,Post-operative complications,General and Minor,rule,POST_OP
<DATE_TIME> female with neck pain,104,Neck swelling/pain,ENT - Mouth/Throat/Neck,silver,
musculoskeletal 6,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
NP Asthma/COPD; PFTs; CXR,651,Shortness of breath,Respiratory,silver,
"suicidal ideation, substance abuse, alcohol abuse. severe mental health problem",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
34 yo M hearing voices to hurt himself,457,"Pregnancy issues, <20 weeks",OB/GYN,rule,PREGNANCY_EARLY
pt returned from <LOCATION> after doing heavy partying. drank a large amount of home brew alcohol upon returning home.,751,Substance misuse/intoxication,Substance Misuse,silver,
"dermatitis, acute or chronic eczema infected , infected wound",709,Localized swelling/redness,Skin,rule,LOCALIZED_INFECTION
<DATE_TIME> here for excema on head getting infected,708,Rash,Skin,silver,
"intoxicated: saying he is dying,hearing voices, suicidal pt, dermatitis,acute or chronic on head",351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
"<DATE_TIME> here intoxicated saying his head is hurting, his mom called and said he is dying and called the vpo to bring him to clinic",751,Substance misuse/intoxication,Substance Misuse,silver,
