text,cedis_code,cedis_complaint,domain,source,rule_applied
"hypoxia, RSV+",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Obstractive jaundice,261,Jaundice,Gastrointestinal,silver,
HIP FX,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
NON STEMI,3,Chest pain—cardiac features,Cardiovascular,rule,STEMI_NSTEMI
"<LOCATION>, COVID, <PERSON>",653,Cough/congestion,Respiratory,rule,COVID
"Fall strike head, seizure",405,Seizure,Neurologic,silver,
recurrent syncope,8,Syncope/pre-syncope,Cardiovascular,silver,
"<DATE_TIME>, PROM",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
cough hypoxia,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
shoulder dislocation,556,Upper extremity injury,Orthopedic,silver,
Esophageal foreign body,265,Oral/esophageal foreign body,Gastrointestinal,silver,
atrial fibrillation,5,Palpitations/irregular heart beat,Cardiovascular,rule,AFIB_RVR
GSW Abdomen,801,Major trauma—penetrating,Trauma,rule,MAJOR_TRAUMA_PENETRATING
Pre-eclampsia,455,Vaginal bleed,OB/GYN,rule,PPH_OBSTETRIC_BLEED
"seizure , hypoxia",651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
overdose/unresponsive,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
MVA/Left Hip dislocation,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
CVA left,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
<PERSON> Trauma,802,Major trauma—blunt,Trauma,silver,
hyponatremia,863,Abnormal lab values,General and Minor,silver,
Back pain,551,Back pain,Orthopedic,silver,
<PERSON> with fever,852,Fever,General and Minor,silver,
Ingestion,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
R eye Injury,510,Eye trauma,Ophthalmology,silver,
"R hip fracture, stroke",557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
"<PERSON>, back pain, lt hip pain",551,Back pain,Orthopedic,silver,
COVID/Pneumonia,653,Cough/congestion,Respiratory,rule,COVID
Altered mental status,402,Confusion,Neurologic,silver,
Ruptured Appendicitis,251,Abdominal pain,Gastrointestinal,silver,
septic knee,558,Joint(s) swelling,Orthopedic,silver,
Pyloric stenosis,866,Minor complaints NOS,General and Minor,silver,
Acute stroke,409,Extremity weakness/symptoms of CVA,Neurologic,rule,CVA_STROKE
Perforated bowel,251,Abdominal pain,Gastrointestinal,rule,BOWEL_PERFORATION
L anckle fx,557,Lower extremity injury,Orthopedic,silver,
Pain,866,Minor complaints NOS,General and Minor,silver,
Toxic Alcohol Ingestion,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"L pneumothorax, SDH, IPH, SAH",802,Major trauma—blunt,Trauma,silver,
Hip Fx,557,Lower extremity injury,Orthopedic,rule,FEMUR_FRACTURE
Fall w/ head pain on anticoagulants,407,Head injury,Neurologic,silver,
Resp. distress,651,Shortness of breath,Respiratory,silver,
somnolence,401,Altered level of consciousness,Neurologic,silver,
fever <DATE_TIME>,852,Fever,General and Minor,silver,
"fall, chest crepitus, hemoptysis",655,Hemoptysis,Respiratory,silver,
sz +,405,Seizure,Neurologic,silver,
acute pre term labor,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
SOB/CP,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
suicidal intoxication,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
frost bite,201,Frostbite/cold injury,Environmental,rule,FROSTBITE
seizure,405,Seizure,Neurologic,silver,
GI bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
toxic ingestion,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
"fall, R hip pain, cannot sit for commercial flight, cannot bear weight",555,Lower extremity pain,Orthopedic,silver,
"MVA, open fx",802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
RLQ Pain,251,Abdominal pain,Gastrointestinal,silver,
internional OD,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
